MovieTtile,Description,Duration,Genre,DirectorsName,Ratings,Stars,FilmingDate
The Shawshank Redemption,"    Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",142 min,Drama            ,Frank Darabont,9.3,"['    Stars:', 'Tim Robbins, ', 'Morgan Freeman, ', 'Bob Gunton, ', 'William Sadler']",(1994)
The Godfather,    The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,175 min,"Crime, Drama            ",Francis Ford Coppola,9.2,"['    Stars:', 'Marlon Brando, ', 'Al Pacino, ', 'James Caan, ', 'Diane Keaton']",(1972)
The Godfather: Part II,"    The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",202 min,"Crime, Drama            ",Francis Ford Coppola,9,"['    Stars:', 'Al Pacino, ', 'Robert De Niro, ', 'Robert Duvall, ', 'Diane Keaton']",(1974)
The Dark Knight,"    When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",152 min,"Action, Crime, Drama            ",Christopher Nolan,9,"['    Stars:', 'Christian Bale, ', 'Heath Ledger, ', 'Aaron Eckhart, ', 'Michael Caine']",(2008)
12 Angry Men,    A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,96 min,"Crime, Drama            ",Sidney Lumet,9,"['    Stars:', 'Henry Fonda, ', 'Lee J. Cobb, ', 'Martin Balsam, ', 'John Fiedler']",(1957)
Schindler's List,"    In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",195 min,"Biography, Drama, History            ",Steven Spielberg,8.9,"['    Stars:', 'Liam Neeson, ', 'Ralph Fiennes, ', 'Ben Kingsley, ', 'Caroline Goodall']",(1993)
The Lord of the Rings: The Return of the King,    Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,201 min,"Action, Adventure, Drama            ",Peter Jackson,8.9,"['    Stars:', 'Elijah Wood, ', 'Viggo Mortensen, ', 'Ian McKellen, ', 'Orlando Bloom']",(2003)
Pulp Fiction,"    The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",154 min,"Crime, Drama            ",Quentin Tarantino,8.9,"['    Stars:', 'John Travolta, ', 'Uma Thurman, ', 'Samuel L. Jackson, ', 'Bruce Willis']",(1994)
"The Good, the Bad and the Ugly",    A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,178 min,Western            ,Sergio Leone,8.8,"['    Stars:', 'Clint Eastwood, ', 'Eli Wallach, ', 'Lee Van Cleef, ', 'Aldo Giuffrè']",(1966)
Fight Club,"    An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.",139 min,Drama            ,David Fincher,8.8,"['    Stars:', 'Brad Pitt, ', 'Edward Norton, ', 'Meat Loaf, ', 'Zach Grenier']",(1999)
Joker,"    In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.",122 min,"Crime, Drama, Thriller            ",Todd Phillips,8.5,"['    Stars:', 'Joaquin Phoenix, ', 'Robert De Niro, ', 'Zazie Beetz, ', 'Frances Conroy']",(2019)
The Lord of the Rings: The Fellowship of the Ring,    A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,178 min,"Action, Adventure, Drama            ",Peter Jackson,8.8,"['    Stars:', 'Elijah Wood, ', 'Ian McKellen, ', 'Orlando Bloom, ', 'Sean Bean']",(2001)
Forrest Gump,"    The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate and other historical events unfold through the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",142 min,"Drama, Romance            ",Robert Zemeckis,8.8,"['    Stars:', 'Tom Hanks, ', 'Robin Wright, ', 'Gary Sinise, ', 'Sally Field']",(1994)
Inception,    A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.,148 min,"Action, Adventure, Sci-Fi            ",Christopher Nolan,8.8,"['    Stars:', 'Leonardo DiCaprio, ', 'Joseph Gordon-Levitt, ', 'Elliot Page, ', 'Ken Watanabe']",(2010)
Star Wars: Episode V - The Empire Strikes Back,"    After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy.",124 min,"Action, Adventure, Fantasy            ",Irvin Kershner,8.7,"['    Stars:', 'Mark Hamill, ', 'Harrison Ford, ', 'Carrie Fisher, ', 'Billy Dee Williams']",(1980)
The Lord of the Rings: The Two Towers,"    While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",179 min,"Action, Adventure, Drama            ",Peter Jackson,8.7,"['    Stars:', 'Elijah Wood, ', 'Ian McKellen, ', 'Viggo Mortensen, ', 'Orlando Bloom']",(2002)
The Matrix,"    When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",136 min,"Action, Sci-Fi            ","Lana Wachowski, ",8.7,"['| ', '    Stars:', 'Keanu Reeves, ', 'Laurence Fishburne, ', 'Carrie-Anne Moss, ', 'Hugo Weaving']",(1999)
One Flew Over the Cuckoo's Nest,"    A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients.",133 min,Drama            ,Milos Forman,8.7,"['    Stars:', 'Jack Nicholson, ', 'Louise Fletcher, ', 'Michael Berryman, ', 'Peter Brocco']",(1975)
Goodfellas,"    The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.",146 min,"Biography, Crime, Drama            ",Martin Scorsese,8.7,"['    Stars:', 'Robert De Niro, ', 'Ray Liotta, ', 'Joe Pesci, ', 'Lorraine Bracco']",(1990)
Seven Samurai,    A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.,207 min,"Action, Adventure, Drama            ",Akira Kurosawa,8.6,"['    Stars:', 'Toshirô Mifune, ', 'Takashi Shimura, ', 'Keiko Tsushima, ', 'Yukiko Shimazaki']",(1954)
Se7en,"    Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",127 min,"Crime, Drama, Mystery            ",David Fincher,8.6,"['    Stars:', 'Morgan Freeman, ', 'Brad Pitt, ', 'Kevin Spacey, ', 'Andrew Kevin Walker']",(1995)
City of God,"    In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",130 min,"Crime, Drama            ","Fernando Meirelles, ",8.6,"['| ', '    Stars:', 'Alexandre Rodrigues, ', 'Leandro Firmino, ', 'Matheus Nachtergaele, ', 'Phellipe Haagensen']",(2002)
Life Is Beautiful,"    When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.",116 min,"Comedy, Drama, Romance            ",Roberto Benigni,8.6,"['    Stars:', 'Roberto Benigni, ', 'Nicoletta Braschi, ', 'Giorgio Cantarini, ', 'Giustino Durano']",(1997)
The Silence of the Lambs,"    A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",118 min,"Crime, Drama, Thriller            ",Jonathan Demme,8.6,"['    Stars:', 'Jodie Foster, ', 'Anthony Hopkins, ', 'Lawrence A. Bonney, ', 'Kasi Lemmons']",(1991)
Star Wars: Episode IV - A New Hope,"    Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",121 min,"Action, Adventure, Fantasy            ",George Lucas,8.6,"['    Stars:', 'Mark Hamill, ', 'Harrison Ford, ', 'Carrie Fisher, ', 'Alec Guinness']",(1977)
It's a Wonderful Life,    An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,130 min,"Drama, Family, Fantasy            ",Frank Capra,8.6,"['    Stars:', 'James Stewart, ', 'Donna Reed, ']",(1946)
Saving Private Ryan,"    Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",169 min,"Drama, War            ",Steven Spielberg,8.6,"['    Stars:', 'Tom Hanks, ', 'Matt Damon, ', 'Tom Sizemore, ', 'Edward Burns']",(1998)
Spirited Away,"    During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.",125 min,"Animation, Adventure, Family            ",Hayao Miyazaki,8.6,"['    Stars:', 'Daveigh Chase, ', 'Suzanne Pleshette, ', 'Miyu Irino, ', 'Rumi Hiiragi']",(2001)
The Green Mile,"    The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.",189 min,"Crime, Drama, Fantasy            ",Frank Darabont,8.6,"['    Stars:', 'Tom Hanks, ', 'Michael Clarke Duncan, ', 'David Morse, ', 'Bonnie Hunt']",(1999)
Léon: The Professional,"    Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",110 min,"Action, Crime, Drama            ",Luc Besson,8.5,"['    Stars:', 'Jean Reno, ', 'Gary Oldman, ', 'Natalie Portman, ', 'Danny Aiello']",(1994)
Hara-Kiri,"    When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.",133 min,"Action, Drama, Mystery            ",Masaki Kobayashi,8.6,"['    Stars:', 'Tatsuya Nakadai, ', 'Akira Ishihama, ']",(1962)
Interstellar,    A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,169 min,"Adventure, Drama, Sci-Fi            ",Christopher Nolan,8.6,"['    Stars:', 'Matthew McConaughey, ', 'Anne Hathaway, ', 'Jessica Chastain, ', 'Mackenzie Foy']",(2014)
The Usual Suspects,"    A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",106 min,"Crime, Mystery, Thriller            ",Bryan Singer,8.5,"['    Stars:', 'Kevin Spacey, ', 'Gabriel Byrne, ', 'Chazz Palminteri, ', 'Stephen Baldwin']",(1995)
The Lion King,"    Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",88 min,"Animation, Adventure, Drama            ","Roger Allers, ",8.5,"['| ', '    Stars:', 'Matthew Broderick, ', 'Jeremy Irons, ', 'James Earl Jones, ', 'Whoopi Goldberg']",(1994)
American History X,    A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,119 min,Drama            ,Tony Kaye,8.5,"['    Stars:', 'Edward Norton, ', 'Edward Furlong, ', ""Beverly D'Angelo, "", 'Jennifer Lien']",(1998)
Back to the Future,"    Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.",116 min,"Adventure, Comedy, Sci-Fi            ",Robert Zemeckis,8.5,"['    Stars:', 'Michael J. Fox, ', 'Christopher Lloyd, ', 'Lea Thompson, ', 'Crispin Glover']",(1985)
The Pianist,    A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,150 min,"Biography, Drama, Music            ",Roman Polanski,8.5,"['    Stars:', 'Adrien Brody, ', 'Thomas Kretschmann, ', 'Frank Finlay, ', 'Emilia Fox']",(2002)
Modern Times,    The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,87 min,"Comedy, Drama, Family            ",Charles Chaplin,8.5,"['    Stars:', 'Charles Chaplin, ', 'Paulette Goddard, ', 'Henry Bergman, ', 'Tiny Sandford']",(1936)
Terminator 2: Judgment Day,"    A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg.",137 min,"Action, Sci-Fi            ",James Cameron,8.5,"['    Stars:', 'Arnold Schwarzenegger, ', 'Linda Hamilton, ', 'Edward Furlong, ', 'Robert Patrick']",(1991)
The Intouchables,"    After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",112 min,"Biography, Comedy, Drama            ","Olivier Nakache, ",8.5,"['| ', '    Stars:', 'François Cluzet, ', 'Omar Sy, ', 'Anne Le Ny, ', 'Audrey Fleurot']",(2011)
Psycho,"    A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.",109 min,"Horror, Mystery, Thriller            ",Alfred Hitchcock,8.5,"['    Stars:', 'Anthony Perkins, ', 'Janet Leigh, ', 'Vera Miles, ', 'John Gavin']",(1960)
Gladiator,    A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,155 min,"Action, Adventure, Drama            ",Ridley Scott,8.5,"['    Stars:', 'Russell Crowe, ', 'Joaquin Phoenix, ', 'Connie Nielsen, ', 'Oliver Reed']",(2000)
City Lights,"    With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",87 min,"Comedy, Drama, Romance            ",Charles Chaplin,8.5,"['    Stars:', 'Charles Chaplin, ', 'Virginia Cherrill, ', 'Florence Lee, ', 'Harry Myers']",(1931)
The Departed,    An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,151 min,"Crime, Drama, Thriller            ",Martin Scorsese,8.5,"['    Stars:', 'Leonardo DiCaprio, ', 'Matt Damon, ', 'Jack Nicholson, ', 'Mark Wahlberg']",(2006)
Whiplash,    A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,106 min,"Drama, Music            ",Damien Chazelle,8.5,"['    Stars:', 'Miles Teller, ', 'J.K. Simmons, ', 'Melissa Benoist, ', 'Paul Reiser']",(2014)
Once Upon a Time in the West,    A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,165 min,Western            ,Sergio Leone,8.5,"['    Stars:', 'Henry Fonda, ', 'Charles Bronson, ', 'Claudia Cardinale, ', 'Jason Robards']",(1968)
The Prestige,"    After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",130 min,"Drama, Mystery, Sci-Fi            ",Christopher Nolan,8.5,"['    Stars:', 'Christian Bale, ', 'Hugh Jackman, ', 'Scarlett Johansson, ', 'Michael Caine']",(2006)
